Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,30,1,2,15,13,4,30,2,1,50.0,1,50.0,16,76,43,2,1,1,1,2,25,6,True,1759666718714252820
Joe Gomez,2.0,eng ENG,RB,28-084,19,15,0,3,9,3,0,15,0,0,,0,,4,8,4,0,0,0,0,0,5,0,True,1759666718714252820
Cody Gakpo,18.0,nl NED,LW,26-100,90,54,0,5,27,26,7,54,10,2,20.0,5,50.0,32,256,145,6,5,3,2,1,36,6,True,1759666718714252820
Mohamed Salah,11.0,eg EGY,RW,33-061,90,47,2,4,13,30,8,47,2,1,50.0,1,50.0,31,255,127,6,1,5,1,2,35,13,True,1759666718714252820
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,68,2,7,33,29,5,68,0,0,,0,,37,174,66,2,2,2,2,3,40,8,True,1759666718714252820
Federico Chiesa,14.0,it ITA,FW,27-294,9,6,0,0,2,4,1,6,0,0,,0,,1,1,0,0,0,0,1,0,3,0,True,1759666718714252820
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,60,2,11,37,12,2,60,1,0,0.0,1,100.0,34,116,70,1,2,0,1,0,42,1,True,1759666718714252820
Curtis Jones,17.0,eng ENG,LM,24-197,19,12,0,1,7,4,0,12,0,0,,0,,9,54,29,0,0,0,0,0,10,0,True,1759666718714252820
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,92,2,18,52,22,3,92,3,1,33.3,1,33.3,60,314,155,3,2,1,2,1,67,2,True,1759666718714252820
Milos Kerkez,6.0,hu HUN,LB,21-281,59,47,0,27,16,5,0,47,0,0,,0,,21,49,9,0,1,0,1,0,24,0,True,1759666718714252820
Andrew Robertson,26.0,sct SCO,LB,31-157,31,18,1,6,7,5,1,18,0,0,,0,,5,6,0,0,0,0,1,0,7,1,True,1759666718714252820
Virgil van Dijk,4.0,nl NED,CB,34-038,90,99,18,60,35,5,4,99,0,0,,0,,49,198,105,1,0,0,1,0,55,1,True,1759666718714252820
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,42,8,25,17,1,0,42,2,2,100.0,0,0.0,22,179,86,2,0,0,0,2,21,0,True,1759666718714252820
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,25,2,9,10,6,0,25,1,1,100.0,0,0.0,13,35,17,0,0,0,0,0,14,2,True,1759666718714252820
